,C,H,O,heat_rate,T,mass_porc,biomass_SD
226,44.71,1.48,49.33,15,885.66153846153,0.857265323617641,True
227,44.71,1.48,49.33,5,406.713341346154,16.5701559020044,True
228,44.71,1.48,49.33,10,88.1555555555535,97.3280770915462,True
229,44.71,1.48,49.33,15,682.338461538454,6.47235319331332,True
230,44.71,1.48,49.33,15,559.799999999994,10.4586369481354,True
231,44.71,1.48,49.33,5,375.424278846154,25.6570155902005,True
232,44.71,1.48,49.33,10,861.46666666664,1.27025843188786,True
233,44.71,1.48,49.33,5,366.283653846154,29.4877505567928,True
234,44.71,1.48,49.33,15,764.03076923076,3.42906129447072,True
235,44.71,1.48,49.33,5,112.455528846154,94.9220489977728,True
236,44.71,1.48,49.33,5,48.4711538461538,99.1091314031181,True
237,44.71,1.48,49.33,10,674.237037037021,6.17608409986867,True
238,44.71,1.48,49.33,10,351.859259259251,36.7498904949627,True
239,44.71,1.48,49.33,10,177.814814814811,94.6123521681997,True
240,44.71,1.48,49.33,5,77.2992788461538,96.3028953229398,True
241,44.71,1.48,49.33,10,784.992592592572,3.37275514673682,True
242,44.71,1.48,49.33,5,275.932091346154,79.5100222717149,True
243,44.71,1.48,49.33,15,348.30769230769,33.6905272181741,True
244,44.71,1.48,49.33,15,693.230769230761,6.12944706386629,True
245,44.71,1.48,49.33,10,368.340740740732,21.6381953569864,True
246,44.71,1.48,49.33,5,546.839028846155,8.50779510022267,True
247,44.71,1.48,49.33,15,537.107692307687,11.2301757393914,True
248,44.71,1.48,49.33,15,773.10769230768,3.12901843120447,True
249,44.71,1.48,49.33,15,442.707692307688,15.6879554222031,True
250,44.71,1.48,49.33,10,506.785185185174,10.5562855891371,True
251,44.71,1.48,49.33,10,883.2222222222,0.52562417871224,True
252,44.71,1.48,49.33,5,676.098028846156,6.94877505567923,True
253,44.71,1.48,49.33,5,779.98102884617,4.9443207126949,True
254,44.71,1.48,49.33,10,318.23703703703,55.0591327201052,True
255,44.71,1.48,49.33,15,278.415384615383,78.6540934419203,True
256,44.71,1.48,49.33,10,893.77037037034,0.175208059570799,True
257,44.71,1.48,49.33,15,796.70769230768,2.57179597085307,True
258,44.71,1.48,49.33,15,432.723076923073,16.2880411487355,True
259,44.71,1.48,49.33,15,141.353846153847,94.3420488641234,True
260,44.71,1.48,49.33,15,806.6923076923,2.57179597085307,True
261,44.71,1.48,49.33,15,715.015384615376,5.65795113587661,True
262,44.71,1.48,49.33,5,175.385216346154,92.783964365256,True
263,44.71,1.48,49.33,10,169.9037037037,94.9189662724485,True
264,44.71,1.48,49.33,10,863.44444444442,1.1388523872098,True
265,44.71,1.48,49.33,15,276.599999999998,79.1255893699099,True
266,44.71,1.48,49.33,5,227.416466346154,88.7305122494432,True
267,44.71,1.48,49.33,15,486.276923076918,13.4590655807972,True
268,44.71,1.48,49.33,15,318.353846153844,53.2361765966567,True
269,44.71,1.48,49.33,15,76.9076923076938,97.2996142306043,True
270,44.71,1.48,49.33,10,327.466666666659,49.8466929478756,True
271,44.71,1.48,49.33,5,582.524028846155,8.19599109131407,True
272,44.71,1.48,49.33,10,790.266666666646,3.1099430573807,True
273,44.71,1.48,49.33,15,136.815384615385,94.470638662666,True
274,44.71,1.48,49.33,15,645.12307692307,7.50107158165455,True
275,44.71,1.48,49.33,15,213.96923076923,90.827261037291,True
276,44.71,1.48,49.33,5,160.971153846154,93.5857461024498,True
277,44.71,1.48,49.33,15,434.538461538458,16.0737248178311,True
278,44.71,1.48,49.33,5,261.869591346154,84.8106904231625,True
279,44.71,1.48,49.33,10,105.296296296294,96.7586508979412,True
280,44.71,1.48,49.33,5,718.92002884616,6.36971046770604,True
281,44.71,1.48,49.33,10,231.214814814809,88.5238720981165,True
282,44.71,1.48,49.33,5,199.643028846154,90.9576837416481,True
283,44.71,1.48,49.33,10,361.74814814814,24.0035041611915,True
284,44.71,1.48,49.33,15,577.046153846148,9.94427775396497,True
285,44.71,1.48,49.33,5,725.26402884616,6.36971046770604,True
286,44.71,1.48,49.33,15,545.276923076917,10.8872696099443,True
287,44.71,1.48,49.33,5,55.5024038461538,98.6191536748329,True
288,44.71,1.48,49.33,5,92.7680288461538,95.5902004454343,True
289,44.71,1.48,49.33,15,534.38461538461,11.2730390055723,True
290,44.71,1.48,49.33,5,569.836028846155,8.28507795100222,True
291,44.71,1.48,49.33,15,63.2923076923094,98.0282897556793,True
292,44.71,1.48,49.33,5,778.39502884617,4.9443207126949,True
293,44.71,1.48,49.33,5,73.7836538461538,96.6592427616925,True
294,44.71,1.48,49.33,5,285.775841346154,70.1559020044543,True
295,44.71,1.48,49.33,10,711.814814814798,5.16863775733677,True
296,44.71,1.48,49.33,5,254.486778846154,86.0579064587972,True
297,44.71,1.48,49.33,5,74.1352163461538,96.6146993318485,True
298,44.71,1.48,49.33,10,813.34074074072,2.62812089356105,True
299,44.71,1.48,49.33,10,93.4296296296275,97.1966710468682,True
300,44.71,1.48,49.33,5,822.80302884617,2.93986636971042,True
301,44.71,1.48,49.33,5,833.11202884618,2.53897550111352,True
302,44.71,1.48,49.33,5,152.182091346154,93.8975501113586,True
303,44.71,1.48,49.33,10,390.755555555547,16.4695575996496,True
304,44.71,1.48,49.33,10,596.444444444431,8.14717477003942,True
305,44.71,1.48,49.33,15,296.569230769229,71.7102443206173,True
306,44.71,1.48,49.33,5,561.113028846155,8.37416481069037,True
307,44.71,1.48,49.33,15,270.246153846152,80.1971710244321,True
308,44.71,1.48,49.33,5,202.103966346154,90.7795100222717,True
309,44.71,1.48,49.33,10,675.55555555554,6.17608409986867,True
310,44.71,1.48,49.33,5,638.827028846155,7.48329621380843,True
311,44.71,1.48,49.33,5,294.916466346154,62.0489977728285,True
312,44.71,1.48,49.33,5,840.24902884618,2.22717149220493,True
313,44.71,1.48,49.33,10,766.533333333314,3.76697328077085,True
314,44.71,1.48,49.33,5,774.43002884617,5.12249443207136,True
315,44.71,1.48,49.33,5,36.1664663461539,99.5991091314031,True
316,44.71,1.48,49.33,5,349.408653846154,35.0556792873051,True
317,44.71,1.48,49.33,15,53.3076923076937,98.4140591513072,True
318,44.71,1.48,49.33,5,293.158653846154,63.4298440979955,True
319,44.71,1.48,49.33,15,665.0923076923,6.81525932276034,True
320,44.71,1.48,49.33,5,356.791466346154,32.6057906458797,True
321,44.71,1.48,49.33,5,34.7602163461539,99.5991091314031,True
322,44.71,1.48,49.33,5,301.244591346154,56.837416481069,True
323,44.71,1.48,49.33,5,722.09202884616,6.36971046770604,True
324,44.71,1.48,49.33,10,433.607407407397,13.8414367060884,True
325,44.71,1.48,49.33,15,225.76923076923,90.0128589798542,True
326,44.71,1.48,49.33,15,255.723076923076,85.0835833690526,True
327,44.71,1.48,49.33,5,435.026028846154,14.6102449888617,True
328,44.71,1.48,49.33,10,703.244444444428,5.56285589137095,True
329,44.71,1.48,49.33,10,458.659259259249,12.0455540954883,True
330,44.71,1.48,49.33,10,257.585185185179,80.5957074025405,True
331,44.71,1.48,49.33,5,334.643028846154,39.8218262806235,True
332,44.71,1.48,49.33,10,834.43703703701,2.19010074463428,True
333,44.71,1.48,49.33,15,194.0,92.1988855550792,True
334,44.71,1.48,49.33,10,367.022222222214,22.1638195356986,True
335,44.71,1.48,49.33,10,875.31111111108,0.700832238283039,True
336,44.71,1.48,49.33,5,168.353966346154,93.1848552338529,True
337,44.71,1.48,49.33,5,602.349028846155,7.92873051224948,True
338,44.71,1.48,49.33,5,160.268028846154,93.630289532294,True
339,44.71,1.48,49.33,5,154.291466346154,93.8530066815144,True
340,44.71,1.48,49.33,5,272.768028846154,81.6481069042315,True
341,44.71,1.48,49.33,15,426.369230769227,16.5880840120017,True
342,44.71,1.48,49.33,15,202.16923076923,91.8131161594512,True
343,44.71,1.48,49.33,10,355.155555555547,31.6250547525187,True
344,44.71,1.48,49.33,10,856.85185185183,1.44546649145866,True
345,44.71,1.48,49.33,10,461.955555555545,11.9141480508103,True
346,44.71,1.48,49.33,5,343.783653846154,36.3474387527839,True
347,44.71,1.48,49.33,10,798.177777777756,2.84713096802458,True
348,44.71,1.48,49.33,10,630.725925925911,7.44634253175653,True
349,44.71,1.48,49.33,5,209.838341346154,90.2895322939866,True
350,44.71,1.48,49.33,15,115.938461538462,95.0707243891984,True
351,44.71,1.48,49.33,10,709.837037037021,5.16863775733677,True
352,44.71,1.48,49.33,5,201.049278846154,90.8240534521158,True
353,44.71,1.48,49.33,15,178.569230769231,92.6703814830689,True
354,44.71,1.48,49.33,5,35.8149038461539,99.5991091314031,True
355,44.71,1.48,49.33,10,235.829629629624,87.6040297853701,True
356,44.71,1.48,49.33,5,191.908653846154,91.6258351893095,True
357,44.71,1.48,49.33,5,324.096153846154,44.4097995545657,True
358,44.71,1.48,49.33,15,351.030769230766,33.347621088727,True
359,44.71,1.48,49.33,15,321.076923076921,51.4787826832404,True
360,44.71,1.48,49.33,10,182.429629629625,94.4809461235216,True
361,44.71,1.48,49.33,5,527.807028846155,8.68596881959912,True
362,44.71,1.48,49.33,10,566.118518518505,9.11081909767857,True
363,44.71,1.48,49.33,5,29.4867788461539,99.8663697104677,True
364,44.71,1.48,49.33,10,612.925925925912,7.75295663600523,True
365,44.71,1.48,49.33,10,237.148148148143,87.1222076215506,True
366,44.71,1.48,49.33,15,294.753846153844,72.1817402486069,True
367,44.71,1.48,49.33,5,294.564903846154,62.1826280623608,True
368,44.71,1.48,49.33,5,41.0883413461538,99.4654788418708,True
369,44.71,1.48,49.33,5,314.252403846154,48.5077951002226,True
370,44.71,1.48,49.33,5,851.35102884618,1.91536748329618,True
371,44.71,1.48,49.33,5,290.346153846154,65.968819599109,True
372,44.71,1.48,49.33,15,308.369230769229,61.7231033004715,True
373,44.71,1.48,49.33,5,436.612028846154,14.5211581291734,True
374,44.71,1.48,49.33,10,775.103703703684,3.63556723609294,True
375,44.71,1.48,49.33,5,277.689903846154,77.9064587973273,True
376,44.71,1.48,49.33,10,606.992592592579,7.92816469557603,True
377,44.71,1.48,49.33,5,223.900841346154,89.1314031180401,True
378,44.71,1.48,49.33,10,316.918518518511,55.8913710030661,True
379,44.71,1.48,49.33,10,38.051851851851,99.6933858957511,True
380,44.71,1.48,49.33,15,181.292307692308,92.5846549507072,True
381,44.71,1.48,49.33,5,103.314903846154,95.1447661469932,True
382,44.71,1.48,49.33,15,39.692307692309,98.8855550792971,True
383,44.71,1.48,49.33,5,215.463341346154,89.7995545657014,True
384,44.71,1.48,49.33,10,544.36296296295,9.63644327639066,True
385,44.71,1.48,49.33,10,139.577777777775,95.7950065703022,True
386,44.71,1.48,49.33,15,712.292307692299,5.65795113587661,True
387,44.71,1.48,49.33,10,142.874074074071,95.6636005256242,True
388,44.71,1.48,49.33,5,127.221153846154,94.5211581291759,True
389,44.71,1.48,49.33,15,462.676923076919,14.6592370338621,True
390,44.71,1.48,49.33,10,762.577777777758,3.89837932544891,True
