,C,H,O,heat_rate,T,mass_porc,biomass_EU
1611,61.93,0.91,35.47,10,807.99999999999,29.2753623188406,True
1612,61.93,0.91,35.47,10,605.499999999985,43.8022165387894,True
1613,61.93,0.91,35.47,10,720.699999999982,34.6973572037511,True
1614,61.93,0.91,35.47,15,274.439999999998,89.3405443126308,True
1615,61.93,0.91,35.47,10,708.099999999982,35.4987212276215,True
1616,61.93,0.91,35.47,15,210.18,94.9406838799721,True
1617,61.93,0.91,35.47,15,83.7000000000007,99.0579204466155,True
1618,61.93,0.91,35.47,10,635.199999999984,41.4663256606991,True
1619,61.93,0.91,35.47,10,742.299999999984,33.4867860187553,True
1620,61.93,0.91,35.47,15,487.619999999995,51.8318213538032,True
1621,61.93,0.91,35.47,20,320.999999999997,90.2179598953792,True
1622,61.93,0.91,35.47,20,499.759999999995,66.5387968613775,True
1623,61.93,0.91,35.47,15,666.119999999992,39.93370551291,True
1624,61.93,0.91,35.47,10,407.49999999999,56.7263427109975,True
1625,61.93,0.91,35.47,10,105.099999999997,96.0272804774084,True
1626,61.93,0.91,35.47,10,627.999999999984,42.0289855072464,True
1627,61.93,0.91,35.47,15,634.499999999992,41.172365666434,True
1628,61.93,0.91,35.47,20,514.519999999995,64.1499564080209,True
1629,61.93,0.91,35.47,20,581.759999999995,49.3635571054926,True
1630,61.93,0.91,35.47,10,289.599999999993,74.4245524296675,True
1631,61.93,0.91,35.47,10,106.899999999997,95.9590792838875,True
1632,61.93,0.91,35.47,10,189.699999999995,90.8951406649616,True
1633,61.93,0.91,35.47,10,272.499999999993,81.1935208866155,True
1634,61.93,0.91,35.47,20,586.679999999995,49.0845684394072,True
1635,61.93,0.91,35.47,10,143.799999999996,93.0605285592498,True
1636,61.93,0.91,35.47,20,398.079999999996,84.8125544899739,True
1637,61.93,0.91,35.47,20,793.319999999993,36.460331299041,True
1638,61.93,0.91,35.47,20,60.2399999999989,99.6163905841325,True
1639,61.93,0.91,35.47,20,230.799999999997,96.8962510897994,True
1640,61.93,0.91,35.47,15,811.979999999989,18.8764829030007,True
1641,61.93,0.91,35.47,10,699.099999999982,35.9761295822677,True
1642,61.93,0.91,35.47,20,532.559999999995,56.8090671316478,True
1643,61.93,0.91,35.47,20,521.079999999995,62.1621621621622,True
1644,61.93,0.91,35.47,15,42.9000000000003,99.7034193998605,True
1645,61.93,0.91,35.47,15,82.6800000000007,99.0753663642708,True
1646,61.93,0.91,35.47,20,106.159999999999,99.1107236268527,True
1647,61.93,0.91,35.47,10,478.599999999988,52.4978687127025,True
1648,61.93,0.91,35.47,10,775.599999999987,31.1849957374254,True
1649,61.93,0.91,35.47,10,59.1999999999986,98.6189258312021,True
1650,61.93,0.91,35.47,15,654.899999999992,40.195394277739,True
1651,61.93,0.91,35.47,20,376.759999999996,85.9285091543156,True
1652,61.93,0.91,35.47,20,878.599999999996,26.8526591107236,True
1653,61.93,0.91,35.47,10,564.099999999986,47.3486786018756,True
1654,61.93,0.91,35.47,15,624.299999999992,41.5910676901605,True
1655,61.93,0.91,35.47,10,674.799999999983,38.1585677749361,True
1656,61.93,0.91,35.47,10,831.399999999993,27.5532821824382,True
1657,61.93,0.91,35.47,15,435.599999999996,55.1116538729937,True
1658,61.93,0.91,35.47,10,301.299999999992,72.0545609548167,True
1659,61.93,0.91,35.47,20,563.719999999995,50.6887532693984,True
1660,61.93,0.91,35.47,15,715.079999999991,35.8339148639218,True
1661,61.93,0.91,35.47,15,202.02,95.4291695743196,True
1662,61.93,0.91,35.47,20,747.399999999993,38.9886660854403,True
