,C,H,O,heat_rate,T,mass_porc,biomass_ESP
2810,41.67,5.28,39.77,10,215,96.39772,True
2811,41.67,5.28,39.77,20,44,100.0,True
2812,41.67,5.28,39.77,10,652,5.63941,True
2813,41.67,5.28,39.77,15,166,99.902,True
2814,41.67,5.28,39.77,15,920,5.01101,True
2815,41.67,5.28,39.77,15,680,6.65541,True
2816,41.67,5.28,39.77,20,311,39.214188047937,True
2817,41.67,5.28,39.77,15,550,7.50805,True
2818,41.67,5.28,39.77,10,265,73.54628,True
2819,41.67,5.28,39.77,10,39,100.0,True
2820,41.67,5.28,39.77,10,891,6.21223,True
2821,41.67,5.28,39.77,10,758,5.65932,True
2822,41.67,5.28,39.77,15,729,6.48783,True
2823,41.67,5.28,39.77,15,42,100.0,True
2824,41.67,5.28,39.77,15,574,7.10881,True
2825,41.67,5.28,39.77,15,865,5.01101,True
2826,41.67,5.28,39.77,15,824,4.98694,True
2827,41.67,5.28,39.77,10,525,6.81602,True
2828,41.67,5.28,39.77,20,541,8.81122818306125,True
2829,41.67,5.28,39.77,15,373,20.97792,True
2830,41.67,5.28,39.77,10,659,5.70288,True
2831,41.67,5.28,39.77,10,834,5.82178,True
2832,41.67,5.28,39.77,15,745,6.43013,True
2833,41.67,5.28,39.77,10,733,5.68817,True
2834,41.67,5.28,39.77,15,261,83.34937,True
2835,41.67,5.28,39.77,10,704,5.85544,True
2836,41.67,5.28,39.77,10,284,48.88047,True
2837,41.67,5.28,39.77,20,90,100.0,True
2838,41.67,5.28,39.77,10,726,5.65932,True
2839,41.67,5.28,39.77,10,735,5.71095,True
2840,41.67,5.28,39.77,10,688,5.63941,True
2841,41.67,5.28,39.77,20,108,100.0,True
2842,41.67,5.28,39.77,10,482,7.19203,True
2843,41.67,5.28,39.77,15,723,6.54735,True
2844,41.67,5.28,39.77,10,251,87.2764,True
2845,41.67,5.28,39.77,15,573,7.13296,True
2846,41.67,5.28,39.77,20,709,6.6395881927129,True
2847,41.67,5.28,39.77,15,430,14.24517,True
2848,41.67,5.28,39.77,10,557,6.68196,True
2849,41.67,5.28,39.77,10,784,5.76818,True
2850,41.67,5.28,39.77,15,240,93.72242,True
2851,41.67,5.28,39.77,15,504,9.20123,True
2852,41.67,5.28,39.77,15,297,50.80965,True
