,C,H,O,heat_rate,T,mass_porc,biomass_OP
503,52.79,2.57,42.75,5,20.355,2.03750868256543,True
504,52.79,2.57,42.75,15,21.157,11.0227584315875,True
505,52.79,2.57,42.75,15,21.171,11.3517959967096,True
506,52.79,2.57,42.75,15,20.928,4.77104469426925,True
507,52.79,2.57,42.75,10,20.585,4.59770114942529,True
508,52.79,2.57,42.75,5,20.403,3.1488770548738,True
509,52.79,2.57,42.75,5,21.434,26.9738365362352,True
510,52.79,2.57,42.75,5,23.196,67.7471636952999,True
511,52.79,2.57,42.75,5,20.481,4.95485065987502,True
512,52.79,2.57,42.75,5,21.619,31.0720074091225,True
513,52.79,2.57,42.75,15,20.84,2.35810255004109,True
514,52.79,2.57,42.75,5,20.379,2.59319286871965,True
515,52.79,2.57,42.75,5,24.304,93.4244037971753,True
516,52.79,2.57,42.75,5,24.505,98.0782588562168,True
517,52.79,2.57,42.75,15,20.901,3.97587057855771,True
518,52.79,2.57,42.75,5,20.592,7.52489002083814,True
519,52.79,2.57,42.75,5,24.553,99.2127807362816,True
520,52.79,2.57,42.75,10,21.295,21.5996168582375,True
521,52.79,2.57,42.75,5,20.536,6.2282935864784,True
522,52.79,2.57,42.75,15,24.303,97.3128598848369,True
523,52.79,2.57,42.75,10,20.549,3.73563218390802,True
524,52.79,2.57,42.75,5,24.585,99.9536929844872,True
525,52.79,2.57,42.75,5,22.327,47.4878444084279,True
526,52.79,2.57,42.75,5,20.308,0.949293818013438,True
527,52.79,2.57,42.75,15,20.935,4.9629832739237,True
528,52.79,2.57,42.75,5,24.148,89.650382032878,True
529,52.79,2.57,42.75,5,20.408,3.26464459365598,True
530,52.79,2.57,42.75,10,20.61,5.19636015325668,True
531,52.79,2.57,42.75,5,24.459,97.0131974994212,True
532,52.79,2.57,42.75,5,21.154,20.5140078721926,True
533,52.79,2.57,42.75,15,20.869,3.15327666575263,True
534,52.79,2.57,42.75,5,20.496,5.30215327622133,True
535,52.79,2.57,42.75,10,20.848,10.8955938697318,True
536,52.79,2.57,42.75,5,21.382,25.7698541329011,True
537,52.79,2.57,42.75,5,20.704,10.0949293818013,True
538,52.79,2.57,42.75,5,21.063,18.407038666358,True
539,52.79,2.57,42.75,5,24.438,96.5732808520491,True
540,52.79,2.57,42.75,5,20.817,12.7344292660338,True
541,52.79,2.57,42.75,15,20.967,5.84041678091575,True
542,52.79,2.57,42.75,10,24.428,96.6235632183908,True
543,52.79,2.57,42.75,10,20.927,12.7873563218391,True
544,52.79,2.57,42.75,15,21.166,11.2695366054291,True
545,52.79,2.57,42.75,10,20.612,5.24425287356316,True
546,52.79,2.57,42.75,5,23.7,79.3239175735125,True
547,52.79,2.57,42.75,10,22.914,60.3687739463602,True
548,52.79,2.57,42.75,5,21.149,20.421393841167,True
549,52.79,2.57,42.75,15,20.996,6.63559089662729,True
550,52.79,2.57,42.75,5,20.665,9.19194257930081,True
551,52.79,2.57,42.75,10,21.333,22.5095785440613,True
552,52.79,2.57,42.75,5,21.267,23.1072007409123,True
553,52.79,2.57,42.75,5,20.32,1.18082889557773,True
554,52.79,2.57,42.75,5,21.486,28.2009724473258,True
555,52.79,2.57,42.75,10,20.495,2.44252873563219,True
556,52.79,2.57,42.75,5,20.746,11.0905302153276,True
557,52.79,2.57,42.75,5,24.327,93.9800879833295,True
558,52.79,2.57,42.75,10,20.556,3.90325670498085,True
559,52.79,2.57,42.75,5,20.497,5.30215327622133,True
560,52.79,2.57,42.75,5,20.509,5.6031488770549,True
561,52.79,2.57,42.75,15,24.279,96.6273649574993,True
562,52.79,2.57,42.75,5,20.522,5.90414447788838,True
563,52.79,2.57,42.75,5,21.554,29.6596434359805,True
564,52.79,2.57,42.75,15,21.842,29.5585412667946,True
565,52.79,2.57,42.75,10,20.698,7.30363984674329,True
566,52.79,2.57,42.75,5,20.296,0.671451724936326,True
567,52.79,2.57,42.75,5,20.395,2.96364899282242,True
