,C,H,O,heat_rate,T,mass_porc,biomass_ESP,biomass_EU,biomass_MCP,biomass_MSP,biomass_MV,biomass_OU,biomass_PP,biomass_SD
16298,75.63,0.79,22.14,15,515.479999999992,49.155302259312,False,False,False,False,False,True,False,False
16299,78.78,0.82,19.91,10,273.480000000005,90.7702984038862,False,False,False,False,True,False,False,False
16300,45.49,5.61,42.1,15,689.39099,12.7225,False,False,True,False,False,False,False,False
16301,45.49,5.61,42.1,5,248.246,77.7063523809524,False,False,True,False,False,False,False,False
16302,78.78,0.82,19.91,20,460.399999999999,70.522707797772,False,False,False,False,True,False,False,False
16303,45.49,5.61,42.1,5,117.049,89.3274507936508,False,False,True,False,False,False,False,False
16304,48.95,1.38,48.41,10,214.600000000004,92.0912547528518,False,False,False,False,False,False,True,False
16305,78.78,0.82,19.91,10,129.000000000003,98.5253296321998,False,False,False,False,True,False,False,False
16306,45.51,5.58,41.82,5,753.10901,23.1295517045455,False,False,False,True,False,False,False,False
16307,45.51,5.58,41.82,10,783.61401,24.8411774117647,False,False,False,True,False,False,False,False
16308,78.78,0.82,19.91,15,394.309999999996,74.5274987229695,False,False,False,False,True,False,False,False
16309,45.49,5.61,42.1,5,866.685,17.6918888888889,False,False,True,False,False,False,False,False
16310,45.49,5.61,42.1,10,352.31699,47.1352691525424,False,False,True,False,False,False,False,False
16311,45.49,5.61,42.1,15,365.26099,39.881512,False,False,True,False,False,False,False,False
16312,48.95,1.38,48.41,5,260.075000000009,57.22828564533,False,False,False,False,False,False,True,False
16313,41.67,5.28,39.77,20,546.0,8.61015040617705,True,False,False,False,False,False,False,False
16314,44.71,1.48,49.33,10,173.199999999996,94.8313622426631,False,False,False,False,False,False,False,True
16315,45.49,5.61,42.1,5,530.65399,23.4614412698412,False,False,True,False,False,False,False,False
16316,41.67,5.28,39.77,10,202.0,97.6157,True,False,False,False,False,False,False,False
16317,41.67,5.28,39.77,15,653.0,6.77834,True,False,False,False,False,False,False,False
16318,45.51,5.58,41.82,10,891.29498,24.0562432941176,False,False,False,True,False,False,False,False
16319,45.49,5.61,42.1,5,243.373,78.7015904761905,False,False,True,False,False,False,False,False
16320,44.71,1.48,49.33,10,624.792592592578,7.57774857643459,False,False,False,False,False,False,False,True
16321,44.71,1.48,49.33,10,862.78518518516,1.1388523872098,False,False,False,False,False,False,False,True
16322,44.71,1.48,49.33,15,801.24615384614,2.57179597085307,False,False,False,False,False,False,False,True
16323,41.67,5.28,39.77,15,38.0,100.0,True,False,False,False,False,False,False,False
16324,78.78,0.82,19.91,15,205.309999999997,97.0883705091095,False,False,False,False,True,False,False,False
16325,61.93,0.91,35.47,15,181.62,96.2840195394278,False,True,False,False,False,False,False,False
16326,45.49,5.61,42.1,5,126.818,88.9985682539683,False,False,True,False,False,False,False,False
16327,45.49,5.61,42.1,5,838.53497,18.0461936507936,False,False,True,False,False,False,False,False
16328,44.71,1.48,49.33,5,468.332028846154,12.7394209354073,False,False,False,False,False,False,False,True
16329,45.49,5.61,42.1,5,731.97198,19.3799873015873,False,False,True,False,False,False,False,False
16330,45.49,5.61,42.1,5,749.04303,19.1534920634921,False,False,True,False,False,False,False,False
16331,44.71,1.48,49.33,15,249.369230769229,86.4552078868409,False,False,False,False,False,False,False,True
16332,78.78,0.82,19.91,20,567.560000000002,33.2305055698372,False,False,False,False,True,False,False,False
16333,45.51,5.58,41.82,5,184.655,88.3670380681818,False,False,False,True,False,False,False,False
16334,44.71,1.48,49.33,10,430.311111111101,14.1480508103373,False,False,False,False,False,False,False,True
16335,48.95,1.38,48.41,5,281.225000000011,31.5652570325279,False,False,False,False,False,False,True,False
16336,48.95,1.38,48.41,5,151.400000000005,97.8547102518034,False,False,False,False,False,False,True,False
16337,45.49,5.61,42.1,5,517.66199,23.9209619047619,False,False,True,False,False,False,False,False
16338,45.49,5.61,42.1,5,273.466,70.1452317460317,False,False,True,False,False,False,False,False
16339,61.93,0.91,35.47,10,654.099999999984,40.1705029838023,False,True,False,False,False,False,False,False
16340,45.49,5.61,42.1,5,93.451,91.4469936507937,False,False,True,False,False,False,False,False
16341,45.51,5.58,41.82,5,167.761,89.0695477272727,False,False,False,True,False,False,False,False
16342,48.95,1.38,48.41,10,184.600000000002,94.2458808618504,False,False,False,False,False,False,True,False
16343,44.71,1.48,49.33,15,159.507692307692,93.6133733390484,False,False,False,False,False,False,False,True
16344,45.49,5.61,42.1,5,183.843,86.9290317460318,False,False,True,False,False,False,False,False
16345,41.67,5.28,39.77,15,52.0,100.0,True,False,False,False,False,False,False,False
16346,45.49,5.61,42.1,10,809.229,22.4911676271186,False,False,True,False,False,False,False,False
16347,75.63,0.79,22.14,10,139.400000000001,93.3650190114068,False,False,False,False,False,True,False,False
16348,41.67,5.28,39.77,20,271.0,83.8534545162069,True,False,False,False,False,False,False,False
16349,48.95,1.38,48.41,5,98.0000000000025,99.115067978869,False,False,False,False,False,False,True,False
16350,78.78,0.82,19.91,20,724.540000000011,20.8054841473864,False,False,False,False,True,False,False,False
16351,41.67,5.28,39.77,10,532.0,6.78901,True,False,False,False,False,False,False,False
16352,48.95,1.38,48.41,10,419.200000000011,22.6869455006337,False,False,False,False,False,False,True,False
16353,45.49,5.61,42.1,5,257.41501,75.3888793650794,False,False,True,False,False,False,False,False
16354,41.67,5.28,39.77,10,372.0,16.86372,True,False,False,False,False,False,False,False
16355,48.95,1.38,48.41,5,268.85000000001,43.4179828913143,False,False,False,False,False,False,True,False
16356,78.78,0.82,19.91,15,581.419999999994,25.2511493274306,False,False,False,False,True,False,False,False
16357,45.51,5.58,41.82,5,49.765,99.2898897727273,False,False,False,True,False,False,False,False
16358,45.51,5.58,41.82,10,494.17401,31.0736454117647,False,False,False,True,False,False,False,False
16359,48.95,1.38,48.41,5,266.60000000001,48.8616556273632,False,False,False,False,False,False,True,False
16360,75.63,0.79,22.14,10,856.519999999985,14.0304182509506,False,False,False,False,False,True,False,False
16361,45.51,5.58,41.82,5,809.68701,22.6681721590909,False,False,False,True,False,False,False,False
16362,75.63,0.79,22.14,10,719.359999999995,20.9315589353612,False,False,False,False,False,True,False,False
16363,78.78,0.82,19.91,20,386.139999999999,85.3470437017995,False,False,False,False,True,False,False,False
