,C,H,O,heat_rate,T,mass_porc,biomass_OU
2963,75.63,0.79,22.14,10,141.560000000001,93.3079847908745,True
2964,75.63,0.79,22.14,10,749.599999999993,19.7908745247148,True
2965,75.63,0.79,22.14,10,785.23999999999,18.3840304182509,True
2966,75.63,0.79,22.14,10,607.580000000002,25.7984790874524,True
2967,75.63,0.79,22.14,10,47.06,97.4714828897338,True
2968,75.63,0.79,22.14,15,252.290000000003,92.7335640138409,True
2969,75.63,0.79,22.14,10,664.819999999998,23.3079847908745,True
2970,75.63,0.79,22.14,20,122.84,95.7126739375706,True
2971,75.63,0.79,22.14,10,298.7,83.4410646387832,True
2972,75.63,0.79,22.14,10,146.42,93.212927756654,True
2973,75.63,0.79,22.14,15,338.780000000002,84.7954406676165,True
2974,75.63,0.79,22.14,10,221.479999999999,89.1254752851711,True
2975,75.63,0.79,22.14,15,770.299999999979,28.2719316100142,True
2976,75.63,0.79,22.14,20,740.599999999986,35.6901090635577,True
2977,75.63,0.79,22.14,10,816.019999999988,16.9201520912548,True
2978,75.63,0.79,22.14,10,63.7999999999999,96.0456273764258,True
2979,75.63,0.79,22.14,15,44.9000000000013,99.7353958884592,True
2980,75.63,0.79,22.14,15,339.710000000002,84.652961530633,True
2981,75.63,0.79,22.14,10,561.140000000005,27.9467680608365,True
2982,75.63,0.79,22.14,10,163.7,92.7376425855513,True
2983,75.63,0.79,22.14,10,412.640000000005,48.574144486692,True
2984,75.63,0.79,22.14,10,29.24,99.3916349809886,True
2985,75.63,0.79,22.14,20,809.239999999983,32.8694998119594,True
2986,75.63,0.79,22.14,15,374.12,79.6865458986362,True
2987,75.63,0.79,22.14,20,550.279999999992,44.4339977435126,True
2988,75.63,0.79,22.14,15,861.439999999978,23.3869326277224,True
2989,75.63,0.79,22.14,10,509.300000000008,33.2699619771863,True
2990,75.63,0.79,22.14,20,420.799999999997,73.3734486649116,True
2991,75.63,0.79,22.14,20,427.039999999997,71.7751034223393,True
2992,75.63,0.79,22.14,15,278.330000000003,90.8406269082027,True
2993,75.63,0.79,22.14,10,198.8,90.5893536121673,True
2994,75.63,0.79,22.14,10,576.260000000004,26.9201520912547,True
2995,75.63,0.79,22.14,15,721.009999999981,31.6303684103399,True
2996,75.63,0.79,22.14,15,133.250000000002,96.8654589863627,True
2997,75.63,0.79,22.14,10,67.04,95.8745247148289,True
2998,75.63,0.79,22.14,10,710.719999999995,21.1787072243346,True
2999,75.63,0.79,22.14,10,732.859999999994,20.4562737642586,True
3000,75.63,0.79,22.14,10,369.440000000003,65.8174904942966,True
3001,75.63,0.79,22.14,10,142.64,93.2889733840304,True
3002,75.63,0.79,22.14,10,548.720000000006,28.5551330798479,True
3003,75.63,0.79,22.14,15,874.459999999979,22.7355994300835,True
3004,75.63,0.79,22.14,10,591.380000000003,26.3498098859315,True
3005,75.63,0.79,22.14,10,256.579999999999,87.1102661596958,True
3006,75.63,0.79,22.14,10,343.520000000002,73.9543726235741,True
3007,75.63,0.79,22.14,10,180.44,91.444866920152,True
3008,75.63,0.79,22.14,10,596.240000000003,26.1977186311787,True
3009,75.63,0.79,22.14,10,218.779999999999,89.2585551330798,True
3010,75.63,0.79,22.14,10,766.879999999991,19.106463878327,True
3011,75.63,0.79,22.14,10,590.300000000003,26.3498098859315,True
3012,75.63,0.79,22.14,10,175.58,91.7680608365019,True
3013,75.63,0.79,22.14,15,430.849999999997,67.4944026053328,True
3014,75.63,0.79,22.14,15,561.04999999999,44.1074699776105,True
3015,75.63,0.79,22.14,15,70.9400000000015,99.24689599023,True
3016,75.63,0.79,22.14,10,312.200000000001,80.9505703422053,True
