,C,H,O,heat_rate,T,mass_porc,biomass
2467,41.67,5.28,39.77,15,548,7.51899,ESP
2468,41.67,5.28,39.77,15,521,8.28576,ESP
2469,41.67,5.28,39.77,15,530,8.0311,ESP
2470,41.67,5.28,39.77,20,721,6.57926485964767,ESP
2471,41.67,5.28,39.77,10,79,100.03481,ESP
2472,41.67,5.28,39.77,15,465,11.64474,ESP
2473,41.67,5.28,39.77,15,493,9.99943,ESP
2474,41.67,5.28,39.77,15,242,93.27429,ESP
2475,41.67,5.28,39.77,10,678,5.71812,ESP
2476,41.67,5.28,39.77,20,94,100.0,ESP
2477,41.67,5.28,39.77,10,473,7.49832,ESP
2478,41.67,5.28,39.77,15,571,7.1725,ESP
2479,41.67,5.28,39.77,10,674,5.75288,ESP
2480,41.67,5.28,39.77,10,53,99.89906,ESP
2481,41.67,5.28,39.77,10,604,6.0572,ESP
2482,41.67,5.28,39.77,10,474,7.47705,ESP
2483,41.67,5.28,39.77,20,581,7.84605485401754,ESP
2484,41.67,5.28,39.77,20,632,7.16239041261162,ESP
2485,41.67,5.28,39.77,10,486,7.10261,ESP
2486,41.67,5.28,39.77,10,421,10.82655,ESP
2487,41.67,5.28,39.77,20,592,7.68519263251021,ESP
2488,41.67,5.28,39.77,10,688,5.63941,ESP
2489,41.67,5.28,39.77,10,208,97.05792,ESP
2490,41.67,5.28,39.77,15,34,100.0,ESP
2491,41.67,5.28,39.77,15,447,12.87571,ESP
2492,41.67,5.28,39.77,10,740,5.75198,ESP
2493,41.67,5.28,39.77,10,665,5.81605,ESP
2494,41.67,5.28,39.77,10,58,100.02161,ESP
2495,41.67,5.28,39.77,15,674,6.64578,ESP
2496,41.67,5.28,39.77,10,326,23.03707,ESP
2497,41.67,5.28,39.77,15,100,99.97195,ESP
2498,41.67,5.28,39.77,10,83,99.95722,ESP
2499,41.67,5.28,39.77,10,934,6.22145,ESP
2500,41.67,5.28,39.77,20,667,6.86077374728546,ESP
2501,41.67,5.28,39.77,20,263,87.0505911686641,ESP
2502,41.67,5.28,39.77,10,571,6.61373,ESP
2503,41.67,5.28,39.77,10,110,99.30273,ESP
2504,41.67,5.28,39.77,15,822,5.01101,ESP
2505,41.67,5.28,39.77,15,550,7.48004,ESP
2506,41.67,5.28,39.77,10,840,5.64292,ESP
2507,41.67,5.28,39.77,20,853,6.19721708356791,ESP
2508,41.67,5.28,39.77,10,479,7.25978,ESP
2509,41.67,5.28,39.77,10,177,99.07589,ESP
2510,41.67,5.28,39.77,15,242,92.90916,ESP
2511,41.67,5.28,39.77,10,388,15.01077,ESP
2512,41.67,5.28,39.77,15,220,96.39406,ESP
2513,41.67,5.28,39.77,15,378,20.47073,ESP
2514,41.67,5.28,39.77,15,214,97.14881,ESP
2515,41.67,5.28,39.77,20,122,99.8391377784927,ESP
2516,41.67,5.28,39.77,15,255,88.97332,ESP
2517,41.67,5.28,39.77,15,653,6.77834,ESP
2518,41.67,5.28,39.77,10,814,5.8069,ESP
2519,41.67,5.28,39.77,10,402,12.90539,ESP
2520,41.67,5.28,39.77,10,468,7.71851,ESP
2521,41.67,5.28,39.77,10,805,5.6504,ESP
2522,41.67,5.28,39.77,15,491,10.06446,ESP
2523,41.67,5.28,39.77,20,689,6.76023485884336,ESP
2524,41.67,5.28,39.77,15,52,100.0,ESP
2525,41.67,5.28,39.77,20,338,28.5972814284565,ESP
2526,41.67,5.28,39.77,15,887,5.01101,ESP
2527,41.67,5.28,39.77,10,494,6.97967,ESP
2528,41.67,5.28,39.77,15,570,7.18612,ESP
2529,41.67,5.28,39.77,10,250,87.7429,ESP
2530,41.67,5.28,39.77,15,36,100.0,ESP
2531,41.67,5.28,39.77,15,842,5.01101,ESP
2532,41.67,5.28,39.77,15,356,23.8913,ESP
2533,41.67,5.28,39.77,10,329,22.32783,ESP
2534,41.67,5.28,39.77,15,179,99.57522,ESP
2535,41.67,5.28,39.77,20,296,55.0591168664039,ESP
2536,41.67,5.28,39.77,20,547,8.56993485080032,ESP
2537,41.67,5.28,39.77,15,67,100.03097,ESP
